state|date|summary|link_text|link|||
Ohio|10/28/2025|The secretary of state announced the office identified 1,084 possible noncitizens who appear to have registered to vote. Of these, 167 allegedly voted in a federal election between 2018 and 2024. |announced the office identified|https://www.ohiosos.gov/office/media-center/categories/press-releases/2025-10-28|||
Oklahoma|10/28/2025|The state election board identified five cases of possible noncitizen voter registration during the 2024 general election.|identified five cases|https://www.southwestledger.news/news/woman-indicted-voting-twice-24-general-election|||
Oregon|9/13/2024|State officials identified 306 individuals on Oregon's voter list who were noncitizens at the time of registration, including two who allegedly voted. These individuals were registered due to clerical errors in marking the type of documentation presented when receiving or renewing a driver's license. |clerical errors|https://www.opb.org/article/2024/09/13/noncitizens-registered-oregon-error/|||
Oregon|9/23/2024|"Update to the 9/13/2024 entry: 1,259 individuals who did not provide documentary proof of US citizenship at the time of registration have been registered to vote in error since 2021. Of these, 306 presented foreign passports during driver’s license renewal or application and were incorrectly marked as US citizens, and 953 were registered after presenting foreign birth certificates.||Of the 1,259 individuals, 10 allegedly voted, one of which became a naturalized citizen prior to voting. "|"did not provide documentary proof of US citizenship||allegedly voted"|"https://oregoncapitalchronicle.com/2024/09/23/oregon-dmv-data-error-registered-1259-noncitizens-to-vote-nine-voted/||https://www.opb.org/article/2024/09/23/voter-registration-noncitizen-oregon-motor-voter/"|||
Oregon|10/7/2024|Update to the 9/13/2024 entry: The driver and motor vehicles services division identified an additional 302 individuals who were mistakenly registered to vote, including citizens of US territories. Of these, 178 were US nationals from American Samoa and Swains Island who were misclassified as US citizens, and 123 resulted from the same clerical error identified in September. |"mistakenly registered to vote||Of these"|"https://oregoncapitalchronicle.com/2024/10/07/oregon-officials-call-for-audit-as-number-of-noncitizens-registered-to-vote-increases||https://www.opb.org/article/2024/10/07/oregon-dmv-department-motor-vehicles-voter-registration-voting-vote-elections/"|||
Oregon|10/7/2024|Update to the 9/23/2024 entry: Of the 10 individuals who had a voting history and were registered without providing documentary proof of citizenship at the time of registration, five were confirmed to be US citizens. |confirmed to be US citizens|https://www.opb.org/article/2024/10/07/oregon-dmv-department-motor-vehicles-voter-registration-voting-vote-elections/|||
Oregon|11/7/2024|The driver and motor vehicles services division identified an additional 56 individuals who were mistakenly registered to vote. Fifty-four of these records were identified through a re-review of transactions with the driver and motor vehicles division. |mistakenly registered to vote|https://www.opb.org/article/2024/11/07/oregon-department-motor-vehicles-dmv-non-citizens-voting-error/|||
Oregon|2/10/2025|Update to the 9/23/2024 entry: The secretary of state’s office forwarded three cases of possible noncitizen voting to the U.S. Department of Justice. Seven more individuals who may have voted illegally after they were registered in error remain under investigation. |three cases of possible noncitizen voting |https://www.opb.org/article/2025/02/10/oregon-elections-officials-noncitizen-voting-doj-cases/|||
Oregon|4/10/2025|"The driver and motor vehicles division identified 118 individuals whose citizenship was initially established, but documents presented later on indicate noncitizenship. Most of these instances occurred between 2010 and 2020 due to clerical errors.||Of the 118 individuals, at least 13 allegedly had a voting history. The secretary of state's office is reviewing their records to determine if they became naturalized citizens before voting. "|"identified 118 individuals||due to clerical errors||allegedly had a voting history"|"https://www.oregon.gov/odot/DMV/docs/Voter%20Registration%20Status%20Report%2004-10-2025.pdf||https://www.oregonlive.com/politics/2025/04/118-more-potential-non-citizens-were-errantly-registered-to-vote-oregon-dmv-reports.html||https://www.wweek.com/news/2025/04/11/oregon-dmv-discloses-discovery-of-an-additional-118-non-citizens-in-voter-file/"|MISSING||
Oregon|6/8/2025|Update to the 10/7/2024 entry: Of the nearly 200 American Samoan residents who were registered to vote in error, 10 voted in an election. Officials determined the 10 noncitizens had not intended to break the law. |had not intended |https://web.archive.org/web/20250723085339/https://www.opb.org/article/2025/06/08/american-samoans-citizenship-voter-rolls/|||
Oregon|10/31/2025|"Update to the 2/10/2025 entry: State officials shelved investigations into three cases of alleged noncitizen voting after a state attorney cautioned that the cases were ""vulnerable"" to claims of selective prosecution. "|shelved investigations |https://oregoncapitalchronicle.com/2025/10/31/facing-discrimination-concerns-oregon-quietly-halts-noncitizen-voters-investigation/|||
Pennsylvania|10/25/2017|Pennsylvania election officials said that 544 ballots out of 93 million cast over 18 years may have been cast by possible noncitizens. These ballots were allegedly cast by noncitizens who later reported themselves as having mistakenly registered. |later reported themselves|https://apnews.com/general-news-64ac234e5fad44d096b3e8209b14ff3b|||
Pennsylvania|11/4/2024|The Brennan Center identified 30 cases of possible noncitizen voting out of 23.5 million votes cast across 42 jurisdictions in the November 2016 election.|30 cases of possible noncitizen voting|https://www.spotlightpa.org/news/2024/11/pennsylvania-election-2024-noncitizens-slow-results-rigged-voting-machines-misinformation/|||
Pennsylvania|10/7/2025|The Public Interest Legal Foundation claimed that Pennsylvania identified 1,160 individuals who self-reported their noncitizen status and requested cancellation of their voter registration.|claimed|https://publicinterestlegal.org/wp-content/uploads/2025/09/25-Petition.pdf|||
Pennsylvania|3/6/2026|The U.S. Department of Justice charged an individual with illegally voting in the 2024 general election as a noncitizen. The individual has allegedly voted in several past elections. |"charged an individual||allegedly voted"|"https://www.justice.gov/usao-edpa/pr/illegal-alien-charged-fraudulently-voting-2024-federal-election||https://www.foxnews.com/politics/illegal-immigrant-charged-voting-pennsylvania-5-presidential-elections"|||
Pennsylvania|4/17/2026|One noncitizen was identified as having been allowed to register to vote following a review of over 200,000 voter applications from the state's department of transportation. The noncitizen notified the agency at the time and was not registered to vote.  |"allowed to register to vote||review"|"https://www.votebeat.org/pennsylvania/2026/04/17/penndot-motor-voter-audit-tim-defoor-noncitizen/||https://www.paauditor.gov/audits/pennsylvania-department-of-transportation-governors-office-of-administration-pennsylvania-motor-voter-process-audit-period-january-1-2024-to-june-20-2024/"|||
South Carolina|10/23/2024|The South Carolina election commission said six possible noncitizens registered to vote over a four-year period due to human error.|six possible noncitizens registered to vote|https://www.thestate.com/news/politics-government/article294303509.html|||
South Dakota|10/9/2024|South Dakota removed 273 possible noncitizens from the voter list after they were registered due to human error in marking citizenship status.|removed 273 possible noncitizens|https://apnews.com/article/dakota-noncitizens-voting-removed-77b8433267d0de64430889b6f9092dc1|||
Tennessee|6/25/2024|More than 14,000 registered voters were sent letters requesting documentary proof of US citizenship. The list was generated by comparing the voter list with data from the Tennessee department of safety and homeland security.|documentary proof of US citizenship|https://apnews.com/article/voting-citizens-tennessee-e788ee6487093e26d2ca8b01c13ecdab|||
Tennessee|10/27/2025|The secretary of state announced that 42 possible noncitizens identified through the SAVE database had allegedly voted in a past election and referred the case to the U.S. Federal Bureau of Investigation for further review.|42 possible noncitizens identified |https://sos.tn.gov/press-releases/tennessee-secretary-of-state-tre-hargett-protecting-the-vote-in-tennessee-uses|||
Texas|4/4/2017|A noncitizen was convicted of illegally voting in Texas. The individual reportedly believed she was eligible to vote as a green card holder. |illegally voting  |https://www.texastribune.org/2017/04/04/she-voted-illegally-was-punishment-too-harsh/|||
Texas|1/25/2019|The secretary of state announced there are roughly 95,000 individuals with registration records whom the department of safety identified as noncitizens. Of those individuals, roughly 58,000 allegedly had a voting history.|roughly 95,000 individuals|https://www.sos.state.tx.us/about/newsreleases/2019/012519.shtml#:~:text=Through%20this%20evaluation%2C%20the%20Texas,in%20the%20State%20of%20Texas.|||
Texas|4/26/2019|The secretary of state ended the review of the possible noncitizens identified in January after agreeing to a settlement. The review had not accounted for individuals who later became naturalized citizens. One official acknowledged that the secretary of state's office had overstated the number of flagged voters by roughly 25,000 names as a result. Local officials also noted that they had already verified hundreds of flagged individuals were naturalized citizens. |"ended the review||became naturalized citizens"|"https://www.sos.state.tx.us/about/newsreleases/2019/042619.shtml||https://www.texastribune.org/2019/04/26/texas-voting-rights-groups-win-settlement-secretary-of-state/"|||
Texas|12/31/2021|"An audit of the 2020 general election in Collin, Dallas, Harris, and Tarrant counties identified 74 possible noncitizens from cancelled registration records using data from local and court authorities.||Beginning in September 2021, the secretary of state implemented a process to compared the voter list against department of public safety citizenship data. From these comparisons, 11,737 possible noncitizens were identified statewide.||Counties later cancelled 278 registration records after confirming noncitizenship and 2,049 registration records after individuals failed to respond to requests for documentary proof of US citizenship."|identified 74 possible noncitizens|https://www.sos.state.tx.us/elections/forms/phase1-progress-report.pdf#search=noncitizen|||
Texas|8/26/2024|The governor announced that Texas has removed more than 6,500 individuals identified as noncitizens from the voter list since the passage of SB 1 in 2021. Of those individuals, roughly 1,930 had allegedly voted. |removed more than 6,500 individuals|https://gov.texas.gov/news/post/governor-abbott-announces-over-1-million-ineligible-voters-removed-from-voter-rolls|||
Texas|10/15/2024|"Update to the 8/26/2024 entry: The governor revised an August press release claiming that more than 6,500 noncitizens had been removed from the voter list to describe the individuals as ""potential"" noncitizens. An investigation by ProPublica, The Texas Tribune, and Votebeat found that according to an August report from secretary of state's office, 581 possible noncitizens had been identified. The larger 6,500 number also included individuals who were removed after failing to receive or respond to notices that their citizenship was in question. Of the more than 70 individuals identified as possible noncitizens that news organizations have contacted, at least nine have so far been identified as US citizens. "|claiming that more than 6,500 noncitizens had been removed |https://www.texastribune.org/2024/10/15/texas-noncitizen-voter-roll-removal-included-americans/|||
Texas|6/5/2025|The secretary of state announced the office identified 33 possible noncitizens who allegedly voted in the November 2024 election using the SAVE database and referred these individuals to the attorney general for investigation.|"33 possible noncitizens||referred these individuals"|"https://www.sos.state.tx.us/about/newsreleases/2025/060525.shtml||https://www.texastribune.org/2025/06/05/texas-secretary-state-noncitizen-voters-investigation/"|||
Texas|7/15/2025|The attorney general announced an investigation into more than 100 possible noncitizens who allegedly cast over 200 ballots during the 2020 and 2022 election cycles. These ballots represent roughly one-thousandth of one percent of the ballots cast in those elections. |investigation into more than 100 possible noncitizens|https://www.texastribune.org/2025/07/15/texas-noncitizen-voter-investigation-ken-paxton/|||
Texas|10/20/2025|The secretary of state announced the office identified 2,724 possible noncitizen registration records after comparing Texas' voter list against the SAVE database.|2,724 possible noncitizen |https://www.sos.state.tx.us/about/newsreleases/2025/102025.shtml|||
Texas|10/31/2025|"Update to the 10/20/2025 entry: At least six individuals in three counties who were identified as possible noncitizens later confirmed their US citizenship. The secretary of state’s office additionally said counties have confirmed citizenship for “a handful” of voters.||Of 565 possible noncitizens flagged across seven counties, at least 193 individuals had submitted their applications through the Texas department of public safety, which requires documentary proof of US citizenship to register to vote. County officials had also registered 94 individuals who self-reported noncitizenship on their registration applications in error; none of these individuals cast ballots.||Officials in two counties identified one noncitizen each, neither of whom had voted in an election."|confirmed their US citizenship|https://www.votebeat.org/texas/2025/10/31/county-election-officials-investigate-potential-noncitizens-flagged-save-database/|||
Texas|12/2/2025|Update to the 10/20/2025 entry: Votebeat contacted 24 counties regarding investigations into voters flagged as possible noncitizens by the secretary of state’s office in October. Responding counties have confirmed the US citizenship of 16 flagged voters so far. |voters flagged as possible noncitizens|https://www.votebeat.org/texas/2025/12/02/travis-county-officials-investigate-potential-noncitizens-dps-save-proof-of-citizenship/|||
Texas|12/10/2025|"Update to the 10/20/2025 entry: Of 84 possible noncitizens flagged in Denton County, 14 later confirmed their US citizenship and 14 more were incorrectly registered due to a county error after self-reporting noncitizenship on their registration forms. None of these individuals had cast a ballot.||The remaining 56 flagged registration records were canceled after officials did not receive a response to the notice requiring documentary proof of citizenship. However, NPR identified at least one US citizen in Denton County who was mistakenly flagged as a possible noncitizen and subsequently had his voter registration canceled. "|84 possible noncitizens|https://www.npr.org/2025/12/10/nx-s1-5588384/save-voting-data-us-citizens|||
Texas|12/18/2025|"Update to the 10/20/2025 entry: Of the local officials who have responded to Votebeat's inquiries, at least 33 flagged individuals have been confirmed as US citizens. In Travis County, at least 11 of the 97 individuals identified as possible noncitizens had provided documentary proof of US citizenship to the Texas department of public safety.||Officials noted that some individuals who registered through the department of public safety had provided documentary proof of citizenship while others had not. "|33 flagged individuals|https://www.votebeat.org/texas/2025/12/18/texas-voter-roll-citizens-investigation-save-database-travis-county/|||
Texas|3/13/2026|A possible noncitizen was accused of voting in the 2024 general election. The individual cancelled his voter registration after he was contacted by officials.|accused of voting|https://abc13.com/post/british-man-accused-illegally-voting-2024-election-harris-county-court-documents-show/18708180/|||
Texas|3/27/2026|The U.S. Department of Justice charged an individual with illegally registering to vote and voting as a noncitizen. The individual allegedly committed identity theft, using stolen identity to register and vote.|illegally registering to vote and voting|https://www.justice.gov/usao-ndtx/pr/illegal-alien-federally-charged-identity-theft-voter-fraud-and-passport-fraud-after|||
Utah|2/1/2009|Two local officials reported one instance of noncitizen registration in each of their counties in an interview with the Brennan Center. It is unclear when these instances occurred.|one instance of noncitizen registration|https://www.brennancenter.org/sites/default/files/legacy/blog/UT.survey.e.officials.doc|||
Utah|8/19/2025|A state representative claimed to have identified at least two possible noncitizens who were registered to vote or had voted in Utah elections through the state's voter database. The representative also claimed that a third individual had been told he could register to vote despite not being a US citizen, though he ultimately did not register. |two possible noncitizens |https://kslnewsradio.com/utah/utah-proof-of-citizenship-register-vote/2238828/|||
Utah|1/22/2026|The lieutenant governor's office worked with the driver license division to conduct a citizenship review of Utah's voter list containing 2,069,640 registration records. Officials ultimately removed one possible noncitizen who had never voted and sent letters to 486 individuals requesting additional documentation to confirm their eligibility. |conduct a citizenship review |https://drive.google.com/file/d/1CNkU8qcrIQ-vYUaE4OyCBqydk5toZAR9/view|||
Virginia|8/31/2019|Between September 1, 2018 and August 31, 2019, the state cancelled 524 registration records belonging to individuals who self-reported noncitizenship during a transaction with the department of motor vehicles. Additionally, the department of motor vehicles is in the process of correcting some noncitizen reports after a limited number of erroneous registration records were included in the list due to a restructuring of internal processes at the agency. |cancelled 524 registration records|https://www.elections.virginia.gov/media/formswarehouse/maintenance-reports/2019SBEListMaintenancereport.pdf|||
Virginia|8/31/2020|Between September 1, 2019 and August 31, 2020, the state cancelled 802 registration records belonging to individuals who self-reported noncitizenship during a transaction with the department of motor vehicles. |self-reported noncitizenship|https://www.elections.virginia.gov/media/formswarehouse/maintenance-reports/2020-List-Maintenance-Report-Final.pdf|||
Virginia|8/7/2024|In an executive order directing officials to cancel registration records of individuals who did not verify their citizenship to the department of motor vehicles, the governor stated that the state had identified and removed 6,303 such records between January 2022 and July 2024.|identified and removed |https://www.lwv.org/sites/default/files/2024-10/EO-35-Comprehensive-Election-Security-Ensuring.pdf|||
Virginia|10/9/2024|Update to the 8/7/2024 entry: A Washington Post review of state court records and interviews with election officials found no evidence of voting or attempted voting by noncitizens between January 2022 and July 2024.  Most of the 6,303 registration records identified as belonging to possible noncitizens from the voter list originated from paperwork errors at the Virginia department of motor vehicles. |no evidence of voting or attempted voting|https://www.washingtonpost.com/dc-md-va/2024/10/09/youngkin-noncitizen-voters-virginia/|||
Virginia|10/9/2024|A Norfolk official noted that there has only been one case of noncitizen voting in the last 15 years. |one case |https://www.washingtonpost.com/dc-md-va/2024/10/09/youngkin-noncitizen-voters-virginia/|||
Virginia|10/9/2024|In Prince William County, officials removed 162 individuals between May 2023 and February 2024 that the state had flagged as possible noncitizens. Of these, 43 had voted between 2012 and 2020. However, all 43 had been registered as US citizens, affirmed their citizenship on earlier records, and had valid Social Security numbers.|"removed 162 individuals||had been registered as US citizens"|"https://www.washingtonpost.com/dc-md-va/2024/10/09/youngkin-noncitizen-voters-virginia/||https://www.npr.org/2024/10/29/nx-s1-5169204/virginia-noncitizen-voter-purge"|||
Virginia|10/15/2024|Officials in four jurisdictions removed 207 registration records belonging to possible noncitizens as part of an August executive order from the governor. Fourteen of these individuals later affirmed their citizenship. |later affirmed their citizenship|https://www.wric.com/news/taking-action/virginia-voter-rolls-citizenship/|||
Virginia|10/30/2024|A district court found that at least some of 1,600 individuals flagged as possible noncitizens and removed from the state voter list since August 7 are US citizens. The district court ordered the state to reinstate the voters, but the order was later blocked by the U.S. Supreme Court. It is unclear how many of the 1,600 individuals are US citizens.|"are US citizens||was later blocked  "|"https://www.cnn.com/2024/10/30/politics/supreme-court-virginia-noncitizen-voting-purge||https://www.npr.org/2024/10/29/nx-s1-5169204/virginia-noncitizen-voter-purge "|||
Virginia|10/30/2024|RadioIQ's review of more than 650 cases of election-related crimes in the state court system found one instance of a possible noncitizen registering to vote and no confirmed instances of noncitizen voting over the last 20 years.|one instance  |https://www.wvtf.org/news/2024-10-30/understanding-virginias-noncitizen-registered-voters|||
Washington|3/31/2026|The secretary of state noted that there have been just 15 cases of noncitizen voting in the state between 1982 and 2025, accounting for 0.000006% of ballots cast. |noncitizen voting|https://www.sos.wa.gov/about-office/news/2026/secretary-steve-hobbs-statement-regarding-latest-overreaching-federal-executive-order-elections|||
West Virginia|2/18/2025|The secretary of state's office reported that there has been one successful conviction for noncitizen voting since 2017. The individual was convicted after registering to vote and voting in the 2016 general election. |one successful conviction|https://www.newsandsentinel.com/news/local-news/2025/02/west-virginia-house-committee-advances-constitutional-amendment-barring-non-citizens-from-voting/|||
Wisconsin|4/25/2018|A report published by the state elections commission identified one suspected case of election fraud involving a possible noncitizen between February 2017 and February 2018.  |one suspected case  |https://elections.wi.gov/resources/reports/2018-report-suspected-election-fraud-irregularities-or-violations-pursuant-wis|||
Wisconsin|3/11/2019|A report published by the state elections commission identified one suspected case of election fraud involving a possible noncitizen between February 2018 and February 2019.|one suspected case  |https://elections.wi.gov/sites/default/files/legacy/2019-03/Report%2520of%2520Suspected%2520Election%2520Fraud_Legislature_3_12_19_Final.pdf|||
Wisconsin|9/8/2023|A report published by the state elections commission identified two suspected cases of election fraud involving a possible noncitizen between June 2022 and June 2023. |two suspected cases |https://elections.wi.gov/sites/default/files/documents/Report%20of%20Suspected%20Election%20Fraud%2C%20Irregularities%2C%20or%20Violations%20%202022-2023.pdf|||
Wisconsin|4/12/2024|The state election commission said there have been three noncitizens referred for prosecution for voting illegally since 2019.|three noncitizens |https://pbswisconsin.org/news-item/how-often-do-non-us-citizens-vote-in-wisconsin-elections/|||
Wisconsin|11/20/2025|A report published by the state elections commission identified one suspected case of election fraud involving a possible noncitizen between September 2024 and November 2025.|one suspected case  |https://pbswisconsin.org/news-item/wisconsin-clerks-referred-46-cases-of-suspected-fraud-irregularities-in-the-november-2024-election/|||
Wyoming|7/10/2025|An investigation into potential voting irregularities in Laramie County in 2024 determined that all 13 individuals who were initially flagged due to citizenship concerns voted legally. |potential voting irregularities|https://capcity.news/crime/2025/07/10/laramie-county-elections-probe-clears-most-flagged-voters/|||
Wyoming|11/24/2025|The SAVE database identified three active registered voters as possible noncitizens. The secretary of state's office removed these individuals from the voter list and referred the cases to law enforcement for further investigation.  |three active registered voters|https://sos.wyo.gov/Media/2025/SoS_Release_2025-11-24.pdf|||
Wyoming|3/12/2026|The secretary of state notified Johnson County of a possible noncitizen on the county's voter list identified through the SAVE database. The secretary referred the individual to law enforcement for further investigation of potential false voting. |a possible noncitizen|https://sos.wyo.gov/Media/2026/SoS_Release_2026-03-12.pdf|||
