state|date|summary|link_text|link|||
Arkansas|4/2/2026|Update to the 10/2/2025 and 10/30/2025 entries: After federal and state officials reviewed Arkansas' voter list for possible noncitizens, two individuals were convicted of illegally voting. For one individual, the convictions were reportedly unrelated to immigration status. |were convicted of |https://www.arkansasonline.com/news/2026/apr/02/election-officials-monthslong-search-for/|||
California|12/10/2019|The U.S. Department of Justice sentenced an individual for voting as a noncitizen in multiple elections over 20 years. The individual fraudulently used the identity of a US citizen.|sentenced an individual|https://www.justice.gov/usao-edca/pr/illegal-alien-residing-sacramento-sentenced-aggravated-identity-theft-passport-fraud|||
California|11/5/2024|A noncitizen pleaded guilty to illegally registering to vote and voting in the 2016 primary and general elections. |pleaded guilty|https://orangecountyda.org/press/canadian-citizen-pleads-guilty-to-illegally-voting-in-2016-primary-general-elections-in-orange-county/|||
California|6/25/2025|Orange County identified and removed 17 noncitizens from their voter list over a five-year period. All but one individual self-reported their noncitizen status.|identified and removed|https://www.latimes.com/california/story/2025-06-25/justice-department-sues-orange-county-registrar-to-get-data-from-noncitizen-voting-records|||
Connecticut|10/18/2024|A complaint sent to Connecticut's elections enforcement commission alleged that a Bridgeport city councilman convinced a noncitizen to register to vote and apply for an absentee ballot, which the councilman then allegedly cast on her behalf in the 2023 Democratic primary.|convinced a noncitizen |https://ctmirror.org/2024/10/18/bridgeport-ct-ineligible-voter-2023-primary/|||
Florida|10/20/2022|The state election crime unit arrested an individual on two counts of illegally voting. The individual allegedly voted in two local elections as a noncitizen after registering to vote using a counterfeit birth certificate. |arrested an individual|https://web.archive.org/web/20221022000158/https://www.fdle.state.fl.us/News/2022/October/FDLE-arrests-Jamaican-citizen-for-voting-in-U-S-el|||
Florida|4/26/2024|Florida law enforcement charged an individual for falsely affirming US citizenship on voter registration applications and voting illegally as a noncitizen in two local elections. |charged an individual|https://www.fdle.state.fl.us/news/2024/april/fdle-arrests-non-citizen-felon-for-voter-fraud|||
Florida|9/16/2024|The secretary of state requested citizenship data from U.S. Citizenship and Immigration Services to verify citizenship status for seven individuals on Florida's voter list. The secretary noted that 144 noncitizens were found on the state's voter list last month and two noncitizens were arrested for voting illegally in the last two years. |requested citizenship data|https://www.tallahassee.com/story/news/politics/2024/09/16/florida-looks-to-clamp-down-on-immigrant-voters-despite-few-incidents/75188399007/|||
Florida|1/24/2025|Florida law enforcement charged a noncitizen with allegedly voting in six local and national elections from 2022 to 2024. The individual allegedly falsely claimed US citizenship on his voter registration application in 2000. |charged a noncitizen|https://www.fdle.state.fl.us/news/2025/january/fdle-arrests-non-citizen-for-voter-fraud|||
Florida|4/29/2025|The U.S. Department of Justice charged two noncitizens with allegedly registering to vote and voting in the 2024 general election.  |charged two noncitizens|https://www.justice.gov/usao-sdfl/pr/ukrainian-citizens-charged-south-florida-illegally-voting-2024-united-states|||
Florida|5/2/2025|The U.S. Department of Justice charged an individual with falsely claiming citizenship to register to vote and vote in the 2024 presidential primary. |charged an individual |https://www.justice.gov/usao-ndfl/pr/jamaican-citizen-arrested-making-false-claim-citizenship-order-register-vote-2024|||
Florida|11/24/2025|The U.S. Department of Justice indicted an individual for falsely affirming US citizenship and voting illegally as a noncitizen in the 2020 election. |indicted an individual|https://www.justice.gov/usao-mdfl/pr/bahamian-national-indicted-illegal-voting-passport-fraud-and-false-claim-united-states|||
Florida|1/14/2026|Charlotte County identified 15 possible noncitizens from 176,000 registration records uploaded to the SAVE database. Of these, three were mistakenly added to the county's voter list and two were naturalized citizens.|identified 15 possible noncitizens|https://www.nytimes.com/2026/01/14/us/politics/noncitizen-voters-save-tool.html|||
Florida|1/15/2026|The Florida office of election crimes and security investigated the citizenship status of 835 individuals. The review identified at least 198 possible noncitizens who registered to vote or voted. Of these, 170 were referred to law enforcement. The remaining 28 individuals were referred to the elections division for list maintenance.|identified at least 198 possible noncitizens|https://files.floridados.gov/media/709938/2025-report-final.pdf|||
Florida|2/20/2026|Of the 162,600 registered voters in Alachua County, officials have removed nine possible noncitizens since January 2025, three of whom have voted. Of the 444,900 registered voters in Polk County, officials have removed 69 possible noncitizens over the last year. These individuals were all identified through the SAVE database.|nine possible noncitizens|https://www.politifact.com/article/2026/feb/20/naturalized-citizens-save-database-florida/|||
Florida|4/3/2026|Update to the 5/2/2025 and 11/4/2025 entries: Two individuals pleaded guilty to falsely affirming US citizenship and voting illegally as noncitizens. |pleaded guilty|https://www.washingtontimes.com/news/2026/apr/3/two-illegal-immigrants-florida-plead-guilty-voting-us-elections/|||
Georgia|3/28/2022|"Georgia conducted the first citizenship audit of its voter list, placing 2,258 individuals under ""pending citizenship status."" These individuals were not added to the state's voter rolls and have never voted.||The audit found that citizenship could not be verified through the SAVE database for 1,634 individuals who had attempted to register to vote. The Department of Driver Services flagged another 624 individuals as possible noncitizens."|conducted the first citizenship audit|https://sos.ga.gov/news/citizenship-audit-finds-1634-noncitizens-attempted-register-vote|||
Georgia|10/23/2024|Georgia conducted a citizenship audit of its voter list, identifying 20 noncitizens who were then removed from the rolls and referred to local prosecutors for potential criminal charges. Nine of the 20 noncitizens had previously voted. These individuals were identified because they self-reported their noncitizen status to excuse themselves from jury duty. The state opened case files for another 156 individuals that required more information to confirm citizenship. |conducted a citizenship audit|https://apnews.com/article/georgia-noncitizens-voter-rolls-14532ef49b66f9cbf34ff483d2534280|||
Idaho|10/18/2024|The secretary of state's office identified 36 possible noncitizens on Idaho's voter list for removal. Additionally, Ada County has removed 78 noncitizens from its voter list since 2020. Ada County records show one instance of noncitizen voting since 2020. |identified 36 possible noncitizens|https://idahocapitalsun.com/2024/10/18/idaho-secretary-of-state-removing-36-likely-noncitizens-as-registered-voters-says-some-voted/|||
Idaho|8/6/2025|The secretary of state announced the arrest of an individual charged with registering and voting as a noncitizen.|announced the arrest|https://press.voteidaho.gov/press-release/election-security-criminal-charges/|||
Idaho|2/9/2026|Roughly a dozen possible noncitizens were referred for possible criminal charges out of 760 possible noncitizens initially flagged by the secretary of state. These 760 individuals were identified through the SAVE database. |referred for possible criminal charges|https://www.cnn.com/2026/02/09/politics/trump-voter-roll-audit-push|||
Illinois|1/24/2020|"An error with Illinois' automatic voter registration system resulted in 545 noncitizens registering to vote despite self-reporting their noncitizen status.||The state board of elections updated the number of possible noncitizens who voted in the 2018 and 2019 elections to 12 individuals, down from initial reports of 16 individuals."|resulted in 545 noncitizens|https://capitolnewsillinois.com/news/elections-board-corrects-non-citizen-voting-numbers/|||
Indiana|9/12/2025|The secretary of state referred a case of alleged noncitizen voting to law enforcement. The individual allegedly voted in multiple elections and was identified when he submitted a foreign passport as proof of citizenship for temporary credentials issued by the bureau of motor vehicles.|referred a case of alleged noncitizen voting|https://events.in.gov/event/secretary-of-state-diego-morales-refers-verified-case-of-noncitizen-voting-in-indiana-to-law-enforcement|||
